_id,Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,Population,PopulationQF,Dose,DoseQF,NumberVaccinated,NumberVaccinatedQF,PercentCoverage,PercentCoverageQF,CumulativeNumberVaccinated,CumulativeNumberVaccinatedQF,CumulativePercentCoverage,CumulativePercentCoverageQF
26,20201208,S92000003,Female,"",80 years and over,d,165451,"",Dose 2,"",0,"",0,"",0,"",0,""
27,20201208,S92000003,Male,"",12 to 15,"",119649,"",Dose 1,"",0,"",0,"",0,"",0,""
28,20201208,S92000003,Male,"",12 to 15,"",119649,"",Dose 2,"",0,"",0,"",0,"",0,""
29,20201208,S92000003,Male,"",16 to 17,"",56560,"",Dose 1,"",1,"",0.00176803394625177,"",1,"",0.00176803394625177,""
30,20201208,S92000003,Male,"",16 to 17,"",56560,"",Dose 2,"",0,"",0,"",0,"",0,""
31,20201208,S92000003,Male,"",16 years and over,d,2195205,"",Dose 1,"",412,"",0.0187681788261233,"",412,"",0.0187681788261233,""
32,20201208,S92000003,Male,"",16 years and over,d,2195205,"",Dose 2,"",0,"",0,"",0,"",0,""
33,20201208,S92000003,Male,"",18 to 29,"",420762,"",Dose 1,"",38,"",0.00903123380913676,"",38,"",0.00903123380913676,""
34,20201208,S92000003,Male,"",18 to 29,"",420762,"",Dose 2,"",0,"",0,"",0,"",0,""
35,20201208,S92000003,Male,"",30 to 39,"",359716,"",Dose 1,"",87,"",0.0241857465333763,"",87,"",0.0241857465333763,""
36,20201208,S92000003,Male,"",30 to 39,"",359716,"",Dose 2,"",0,"",0,"",0,"",0,""
37,20201208,S92000003,Male,"",40 to 49,"",328962,"",Dose 1,"",115,"",0.0349584450483642,"",115,"",0.0349584450483642,""
38,20201208,S92000003,Male,"",40 to 49,"",328962,"",Dose 2,"",0,"",0,"",0,"",0,""
39,20201208,S92000003,Male,"",50 to 54,"",189355,"",Dose 1,"",66,"",0.0348551662221753,"",66,"",0.0348551662221753,""
40,20201208,S92000003,Male,"",50 to 54,"",189355,"",Dose 2,"",0,"",0,"",0,"",0,""
41,20201208,S92000003,Male,"",55 to 59,"",193348,"",Dose 1,"",51,"",0.0263773093075698,"",51,"",0.0263773093075698,""
42,20201208,S92000003,Male,"",55 to 59,"",193348,"",Dose 2,"",0,"",0,"",0,"",0,""
43,20201208,S92000003,Male,"",60 to 64,"",170701,"",Dose 1,"",39,"",0.0228469663329447,"",39,"",0.0228469663329447,""
44,20201208,S92000003,Male,"",60 to 64,"",170701,"",Dose 2,"",0,"",0,"",0,"",0,""
45,20201208,S92000003,Male,"",65 to 69,"",144529,"",Dose 1,"",11,"",0.00761092929446686,"",11,"",0.00761092929446686,""
46,20201208,S92000003,Male,"",65 to 69,"",144529,"",Dose 2,"",0,"",0,"",0,"",0,""
47,20201208,S92000003,Male,"",70 to 74,"",135910,"",Dose 1,"",3,"",0.00220734309469502,"",3,"",0.00220734309469502,""
48,20201208,S92000003,Male,"",70 to 74,"",135910,"",Dose 2,"",0,"",0,"",0,"",0,""
49,20201208,S92000003,Male,"",75 to 79,"",89206,"",Dose 1,"",0,"",0,"",0,"",0,""
50,20201208,S92000003,Male,"",75 to 79,"",89206,"",Dose 2,"",0,"",0,"",0,"",0,""
51,20201208,S92000003,Male,"",80 years and over,d,106156,"",Dose 1,"",1,"",0.00094200987226346,"",1,"",0.00094200987226346,""
52,20201208,S92000003,Male,"",80 years and over,d,106156,"",Dose 2,"",0,"",0,"",0,"",0,""
53,20201208,S92000003,Total,d,12 to 15,"",234135,"",Dose 1,"",0,"",0,"",0,"",0,""
54,20201208,S92000003,Total,d,12 to 15,"",234135,"",Dose 2,"",0,"",0,"",0,"",0,""
55,20201208,S92000003,Total,d,16 to 17,"",110139,"",Dose 1,"",1,"",0.00090794359854365,"",1,"",0.00090794359854365,""
56,20201208,S92000003,Total,d,16 to 17,"",110139,"",Dose 2,"",0,"",0,"",0,"",0,""
57,20201208,S92000003,Total,d,16 years and over,d,4549217,"",Dose 1,"",1934,"",0.0425128104462812,"",1934,"",0.0425128104462812,""
58,20201208,S92000003,Total,d,16 years and over,d,4549217,"",Dose 2,"",0,"",0,"",0,"",0,""
59,20201208,S92000003,Total,d,18 to 29,"",833947,"",Dose 1,"",206,"",0.0247018095874198,"",206,"",0.0247018095874198,""
60,20201208,S92000003,Total,d,18 to 29,"",833947,"",Dose 2,"",0,"",0,"",0,"",0,""
61,20201208,S92000003,Total,d,18 years and over,d,4439078,"",Dose 1,"",1933,"",0.0435450785050409,"",1933,"",0.0435450785050409,""
62,20201208,S92000003,Total,d,18 years and over,d,4439078,"",Dose 2,"",0,"",0,"",0,"",0,""
63,20201208,S92000003,Total,d,30 to 39,"",729735,"",Dose 1,"",382,"",0.0523477700809198,"",382,"",0.0523477700809198,""
64,20201208,S92000003,Total,d,30 to 39,"",729735,"",Dose 2,"",0,"",0,"",0,"",0,""
65,20201208,S92000003,Total,d,40 to 49,"",674290,"",Dose 1,"",507,"",0.0751902000622877,"",507,"",0.0751902000622877,""
66,20201208,S92000003,Total,d,40 to 49,"",674290,"",Dose 2,"",0,"",0,"",0,"",0,""
67,20201208,S92000003,Total,d,40 years and over,d,2875396,"",Dose 1,"",1345,"",0.0467761657872516,"",1345,"",0.0467761657872516,""
68,20201208,S92000003,Total,d,40 years and over,d,2875396,"",Dose 2,"",0,"",0,"",0,"",0,""
69,20201208,S92000003,Total,d,50 to 54,"",393113,"",Dose 1,"",297,"",0.075550795827154,"",297,"",0.075550795827154,""
70,20201208,S92000003,Total,d,50 to 54,"",393113,"",Dose 2,"",0,"",0,"",0,"",0,""
71,20201208,S92000003,Total,d,55 to 59,"",399344,"",Dose 1,"",323,"",0.0808826475419688,"",323,"",0.0808826475419688,""
72,20201208,S92000003,Total,d,55 to 59,"",399344,"",Dose 2,"",0,"",0,"",0,"",0,""
73,20201208,S92000003,Total,d,60 to 64,"",352569,"",Dose 1,"",170,"",0.0482175120331056,"",170,"",0.0482175120331056,""
74,20201208,S92000003,Total,d,60 to 64,"",352569,"",Dose 2,"",0,"",0,"",0,"",0,""
75,20201208,S92000003,Total,d,65 to 69,"",300433,"",Dose 1,"",39,"",0.0129812637093795,"",39,"",0.0129812637093795,""
76,20201208,S92000003,Total,d,65 to 69,"",300433,"",Dose 2,"",0,"",0,"",0,"",0,""
77,20201208,S92000003,Total,d,70 to 74,"",285830,"",Dose 1,"",8,"",0.00279886645908407,"",8,"",0.00279886645908407,""
78,20201208,S92000003,Total,d,70 to 74,"",285830,"",Dose 2,"",0,"",0,"",0,"",0,""
79,20201208,S92000003,Total,d,75 to 79,"",198210,"",Dose 1,"",0,"",0,"",0,"",0,""
80,20201208,S92000003,Total,d,75 to 79,"",198210,"",Dose 2,"",0,"",0,"",0,"",0,""
81,20201208,S92000003,Total,d,80 years and over,d,271607,"",Dose 1,"",1,"",0.00036817902336832,"",1,"",0.00036817902336832,""
82,20201208,S92000003,Total,d,80 years and over,d,271607,"",Dose 2,"",0,"",0,"",0,"",0,""
83,20201208,S92000003,Total,d,All vaccinations,d,,"",Dose 1,"",1934,"",,z,1934,"",,z
84,20201208,S92000003,Total,d,All vaccinations,d,,"",Dose 2,"",0,"",,z,0,"",,z
85,20201209,S92000003,Female,"",12 to 15,"",114486,"",Dose 1,"",0,"",0,"",0,"",0,""
86,20201209,S92000003,Female,"",12 to 15,"",114486,"",Dose 2,"",0,"",0,"",0,"",0,""
87,20201209,S92000003,Female,"",16 to 17,"",53579,"",Dose 1,"",0,"",0,"",0,"",0,""
88,20201209,S92000003,Female,"",16 to 17,"",53579,"",Dose 2,"",0,"",0,"",0,"",0,""
89,20201209,S92000003,Female,"",16 years and over,d,2354012,"",Dose 1,"",2955,"",0.1255303711281,"",4477,"",0.190185946375804,""
90,20201209,S92000003,Female,"",16 years and over,d,2354012,"",Dose 2,"",0,"",0,"",0,"",0,""
91,20201209,S92000003,Female,"",18 to 29,"",413185,"",Dose 1,"",430,"",0.104069605624599,"",598,"",0.144729358519791,""
92,20201209,S92000003,Female,"",18 to 29,"",413185,"",Dose 2,"",0,"",0,"",0,"",0,""
93,20201209,S92000003,Female,"",30 to 39,"",370019,"",Dose 1,"",561,"",0.151613836046257,"",856,"",0.231339471756856,""
94,20201209,S92000003,Female,"",30 to 39,"",370019,"",Dose 2,"",0,"",0,"",0,"",0,""
95,20201209,S92000003,Female,"",40 to 49,"",345328,"",Dose 1,"",718,"",0.207918269008016,"",1110,"",0.32143353565306,""
96,20201209,S92000003,Female,"",40 to 49,"",345328,"",Dose 2,"",0,"",0,"",0,"",0,""
97,20201209,S92000003,Female,"",50 to 54,"",203758,"",Dose 1,"",434,"",0.212997771866626,"",665,"",0.326367553666605,""
98,20201209,S92000003,Female,"",50 to 54,"",203758,"",Dose 2,"",0,"",0,"",0,"",0,""
99,20201209,S92000003,Female,"",55 to 59,"",205996,"",Dose 1,"",456,"",0.221363521621779,"",728,"",0.353404920483893,""
100,20201209,S92000003,Female,"",55 to 59,"",205996,"",Dose 2,"",0,"",0,"",0,"",0,""
101,20201209,S92000003,Female,"",60 to 64,"",181868,"",Dose 1,"",275,"",0.151208568852135,"",406,"",0.223238832559879,""
102,20201209,S92000003,Female,"",60 to 64,"",181868,"",Dose 2,"",0,"",0,"",0,"",0,""
103,20201209,S92000003,Female,"",65 to 69,"",155904,"",Dose 1,"",59,"",0.0378438013136289,"",87,"",0.0558035714285714,""
104,20201209,S92000003,Female,"",65 to 69,"",155904,"",Dose 2,"",0,"",0,"",0,"",0,""
105,20201209,S92000003,Female,"",70 to 74,"",149920,"",Dose 1,"",16,"",0.0106723585912487,"",21,"",0.0140074706510139,""
106,20201209,S92000003,Female,"",70 to 74,"",149920,"",Dose 2,"",0,"",0,"",0,"",0,""
107,20201209,S92000003,Female,"",75 to 79,"",109004,"",Dose 1,"",5,"",0.00458698763348134,"",5,"",0.00458698763348134,""
108,20201209,S92000003,Female,"",75 to 79,"",109004,"",Dose 2,"",0,"",0,"",0,"",0,""
109,20201209,S92000003,Female,"",80 years and over,d,165451,"",Dose 1,"",1,"",0.00060440855600751,"",1,"",0.00060440855600751,""
110,20201209,S92000003,Female,"",80 years and over,d,165451,"",Dose 2,"",0,"",0,"",0,"",0,""
111,20201209,S92000003,Male,"",12 to 15,"",119649,"",Dose 1,"",0,"",0,"",0,"",0,""
112,20201209,S92000003,Male,"",12 to 15,"",119649,"",Dose 2,"",0,"",0,"",0,"",0,""
113,20201209,S92000003,Male,"",16 to 17,"",56560,"",Dose 1,"",0,"",0,"",1,"",0.00176803394625177,""
114,20201209,S92000003,Male,"",16 to 17,"",56560,"",Dose 2,"",0,"",0,"",0,"",0,""
115,20201209,S92000003,Male,"",16 years and over,d,2195205,"",Dose 1,"",909,"",0.0414084333809371,"",1321,"",0.0601766122070604,""
116,20201209,S92000003,Male,"",16 years and over,d,2195205,"",Dose 2,"",0,"",0,"",0,"",0,""
117,20201209,S92000003,Male,"",18 to 29,"",420762,"",Dose 1,"",111,"",0.0263807092845837,"",149,"",0.0354119430937204,""
118,20201209,S92000003,Male,"",18 to 29,"",420762,"",Dose 2,"",0,"",0,"",0,"",0,""
119,20201209,S92000003,Male,"",30 to 39,"",359716,"",Dose 1,"",189,"",0.0525414493656107,"",276,"",0.076727195898987,""
120,20201209,S92000003,Male,"",30 to 39,"",359716,"",Dose 2,"",0,"",0,"",0,"",0,""
121,20201209,S92000003,Male,"",40 to 49,"",328962,"",Dose 1,"",249,"",0.0756926331916756,"",364,"",0.11065107824004,""
122,20201209,S92000003,Male,"",40 to 49,"",328962,"",Dose 2,"",0,"",0,"",0,"",0,""
123,20201209,S92000003,Male,"",50 to 54,"",189355,"",Dose 1,"",126,"",0.0665416809696074,"",192,"",0.101396847191783,""
124,20201209,S92000003,Male,"",50 to 54,"",189355,"",Dose 2,"",0,"",0,"",0,"",0,""
125,20201209,S92000003,Male,"",55 to 59,"",193348,"",Dose 1,"",116,"",0.0599954486211391,"",167,"",0.0863727579287089,""
126,20201209,S92000003,Male,"",55 to 59,"",193348,"",Dose 2,"",0,"",0,"",0,"",0,""
127,20201209,S92000003,Male,"",60 to 64,"",170701,"",Dose 1,"",81,"",0.0474513916145775,"",120,"",0.0702983579475223,""
128,20201209,S92000003,Male,"",60 to 64,"",170701,"",Dose 2,"",0,"",0,"",0,"",0,""
129,20201209,S92000003,Male,"",65 to 69,"",144529,"",Dose 1,"",29,"",0.0200651772308672,"",40,"",0.027676106525334,""
130,20201209,S92000003,Male,"",65 to 69,"",144529,"",Dose 2,"",0,"",0,"",0,"",0,""
131,20201209,S92000003,Male,"",70 to 74,"",135910,"",Dose 1,"",6,"",0.00441468618939004,"",9,"",0.00662202928408506,""
132,20201209,S92000003,Male,"",70 to 74,"",135910,"",Dose 2,"",0,"",0,"",0,"",0,""
133,20201209,S92000003,Male,"",75 to 79,"",89206,"",Dose 1,"",1,"",0.00112100082954061,"",1,"",0.00112100082954061,""
134,20201209,S92000003,Male,"",75 to 79,"",89206,"",Dose 2,"",0,"",0,"",0,"",0,""
135,20201209,S92000003,Male,"",80 years and over,d,106156,"",Dose 1,"",1,"",0.00094200987226346,"",2,"",0.00188401974452692,""
136,20201209,S92000003,Male,"",80 years and over,d,106156,"",Dose 2,"",0,"",0,"",0,"",0,""
137,20201209,S92000003,Total,d,12 to 15,"",234135,"",Dose 1,"",0,"",0,"",0,"",0,""
138,20201209,S92000003,Total,d,12 to 15,"",234135,"",Dose 2,"",0,"",0,"",0,"",0,""
139,20201209,S92000003,Total,d,16 to 17,"",110139,"",Dose 1,"",0,"",0,"",1,"",0.00090794359854365,""
140,20201209,S92000003,Total,d,16 to 17,"",110139,"",Dose 2,"",0,"",0,"",0,"",0,""
141,20201209,S92000003,Total,d,16 years and over,d,4549217,"",Dose 1,"",3864,"",0.0849376936734388,"",5798,"",0.12745050411972,""
142,20201209,S92000003,Total,d,16 years and over,d,4549217,"",Dose 2,"",0,"",0,"",0,"",0,""
143,20201209,S92000003,Total,d,18 to 29,"",833947,"",Dose 1,"",541,"",0.0648722280912336,"",747,"",0.0895740376786534,""
144,20201209,S92000003,Total,d,18 to 29,"",833947,"",Dose 2,"",0,"",0,"",0,"",0,""
145,20201209,S92000003,Total,d,18 years and over,d,4439078,"",Dose 1,"",3864,"",0.0870451026091454,"",5797,"",0.130590181114186,""
146,20201209,S92000003,Total,d,18 years and over,d,4439078,"",Dose 2,"",0,"",0,"",0,"",0,""
147,20201209,S92000003,Total,d,30 to 39,"",729735,"",Dose 1,"",750,"",0.102777035499188,"",1132,"",0.155124805580108,""
148,20201209,S92000003,Total,d,30 to 39,"",729735,"",Dose 2,"",0,"",0,"",0,"",0,""
149,20201209,S92000003,Total,d,40 to 49,"",674290,"",Dose 1,"",967,"",0.143410105444245,"",1474,"",0.218600305506533,""
150,20201209,S92000003,Total,d,40 to 49,"",674290,"",Dose 2,"",0,"",0,"",0,"",0,""
151,20201209,S92000003,Total,d,40 years and over,d,2875396,"",Dose 1,"",2573,"",0.0894833268182887,"",3918,"",0.13625949260554,""
152,20201209,S92000003,Total,d,40 years and over,d,2875396,"",Dose 2,"",0,"",0,"",0,"",0,""
153,20201209,S92000003,Total,d,50 to 54,"",393113,"",Dose 1,"",560,"",0.142452679000694,"",857,"",0.218003474827848,""
154,20201209,S92000003,Total,d,50 to 54,"",393113,"",Dose 2,"",0,"",0,"",0,"",0,""
155,20201209,S92000003,Total,d,55 to 59,"",399344,"",Dose 1,"",572,"",0.143234905244601,"",895,"",0.22411755278657,""
156,20201209,S92000003,Total,d,55 to 59,"",399344,"",Dose 2,"",0,"",0,"",0,"",0,""
157,20201209,S92000003,Total,d,60 to 64,"",352569,"",Dose 1,"",356,"",0.100973142845798,"",526,"",0.149190654878903,""
158,20201209,S92000003,Total,d,60 to 64,"",352569,"",Dose 2,"",0,"",0,"",0,"",0,""
159,20201209,S92000003,Total,d,65 to 69,"",300433,"",Dose 1,"",88,"",0.0292910565750101,"",127,"",0.0422723202843895,""
160,20201209,S92000003,Total,d,65 to 69,"",300433,"",Dose 2,"",0,"",0,"",0,"",0,""
161,20201209,S92000003,Total,d,70 to 74,"",285830,"",Dose 1,"",22,"",0.0076968827624812,"",30,"",0.0104957492215653,""
162,20201209,S92000003,Total,d,70 to 74,"",285830,"",Dose 2,"",0,"",0,"",0,"",0,""
163,20201209,S92000003,Total,d,75 to 79,"",198210,"",Dose 1,"",6,"",0.00302709247767519,"",6,"",0.00302709247767519,""
164,20201209,S92000003,Total,d,75 to 79,"",198210,"",Dose 2,"",0,"",0,"",0,"",0,""
165,20201209,S92000003,Total,d,80 years and over,d,271607,"",Dose 1,"",2,"",0.00073635804673664,"",3,"",0.00110453707010497,""
166,20201209,S92000003,Total,d,80 years and over,d,271607,"",Dose 2,"",0,"",0,"",0,"",0,""
167,20201209,S92000003,Total,d,All vaccinations,d,,"",Dose 1,"",3864,"",,z,5798,"",,z
168,20201209,S92000003,Total,d,All vaccinations,d,,"",Dose 2,"",0,"",,z,0,"",,z
169,20201210,S92000003,Female,"",12 to 15,"",114486,"",Dose 1,"",0,"",0,"",0,"",0,""
170,20201210,S92000003,Female,"",12 to 15,"",114486,"",Dose 2,"",0,"",0,"",0,"",0,""
171,20201210,S92000003,Female,"",16 to 17,"",53579,"",Dose 1,"",0,"",0,"",0,"",0,""
172,20201210,S92000003,Female,"",16 to 17,"",53579,"",Dose 2,"",0,"",0,"",0,"",0,""
173,20201210,S92000003,Female,"",16 years and over,d,2354012,"",Dose 1,"",3900,"",0.165674601488862,"",8377,"",0.355860547864667,""
174,20201210,S92000003,Female,"",16 years and over,d,2354012,"",Dose 2,"",0,"",0,"",0,"",0,""
175,20201210,S92000003,Female,"",18 to 29,"",413185,"",Dose 1,"",573,"",0.138678800053245,"",1171,"",0.283408158573036,""
176,20201210,S92000003,Female,"",18 to 29,"",413185,"",Dose 2,"",0,"",0,"",0,"",0,""
177,20201210,S92000003,Female,"",30 to 39,"",370019,"",Dose 1,"",733,"",0.19809793551142,"",1589,"",0.429437407268275,""
178,20201210,S92000003,Female,"",30 to 39,"",370019,"",Dose 2,"",0,"",0,"",0,"",0,""
179,20201210,S92000003,Female,"",40 to 49,"",345328,"",Dose 1,"",870,"",0.251934392809155,"",1980,"",0.573367928462216,""
180,20201210,S92000003,Female,"",40 to 49,"",345328,"",Dose 2,"",0,"",0,"",0,"",0,""
181,20201210,S92000003,Female,"",50 to 54,"",203758,"",Dose 1,"",609,"",0.298883970199943,"",1274,"",0.625251523866548,""
182,20201210,S92000003,Female,"",50 to 54,"",203758,"",Dose 2,"",0,"",0,"",0,"",0,""
183,20201210,S92000003,Female,"",55 to 59,"",205996,"",Dose 1,"",625,"",0.303403949591254,"",1353,"",0.656808870075147,""
184,20201210,S92000003,Female,"",55 to 59,"",205996,"",Dose 2,"",0,"",0,"",0,"",0,""
185,20201210,S92000003,Female,"",60 to 64,"",181868,"",Dose 1,"",360,"",0.197945762860976,"",766,"",0.421184595420855,""
186,20201210,S92000003,Female,"",60 to 64,"",181868,"",Dose 2,"",0,"",0,"",0,"",0,""
187,20201210,S92000003,Female,"",65 to 69,"",155904,"",Dose 1,"",101,"",0.0647834564860427,"",188,"",0.120587027914614,""
188,20201210,S92000003,Female,"",65 to 69,"",155904,"",Dose 2,"",0,"",0,"",0,"",0,""
189,20201210,S92000003,Female,"",70 to 74,"",149920,"",Dose 1,"",22,"",0.0146744930629669,"",43,"",0.0286819637139808,""
190,20201210,S92000003,Female,"",70 to 74,"",149920,"",Dose 2,"",0,"",0,"",0,"",0,""
191,20201210,S92000003,Female,"",75 to 79,"",109004,"",Dose 1,"",6,"",0.00550438516017761,"",11,"",0.0100913727936589,""
192,20201210,S92000003,Female,"",75 to 79,"",109004,"",Dose 2,"",0,"",0,"",0,"",0,""
193,20201210,S92000003,Female,"",80 years and over,d,165451,"",Dose 1,"",1,"",0.00060440855600751,"",2,"",0.00120881711201504,""
194,20201210,S92000003,Female,"",80 years and over,d,165451,"",Dose 2,"",0,"",0,"",0,"",0,""
195,20201210,S92000003,Male,"",12 to 15,"",119649,"",Dose 1,"",0,"",0,"",0,"",0,""
196,20201210,S92000003,Male,"",12 to 15,"",119649,"",Dose 2,"",0,"",0,"",0,"",0,""
197,20201210,S92000003,Male,"",16 to 17,"",56560,"",Dose 1,"",0,"",0,"",1,"",0.00176803394625177,""
198,20201210,S92000003,Male,"",16 to 17,"",56560,"",Dose 2,"",0,"",0,"",0,"",0,""
199,20201210,S92000003,Male,"",16 years and over,d,2195205,"",Dose 1,"",1060,"",0.0482870620283755,"",2381,"",0.108463674235436,""
200,20201210,S92000003,Male,"",16 years and over,d,2195205,"",Dose 2,"",0,"",0,"",0,"",0,""
201,20201210,S92000003,Male,"",18 to 29,"",420762,"",Dose 1,"",143,"",0.0339859588080673,"",292,"",0.0693979019017877,""
202,20201210,S92000003,Male,"",18 to 29,"",420762,"",Dose 2,"",0,"",0,"",0,"",0,""
203,20201210,S92000003,Male,"",30 to 39,"",359716,"",Dose 1,"",238,"",0.0661633066085468,"",514,"",0.142890502507534,""
204,20201210,S92000003,Male,"",30 to 39,"",359716,"",Dose 2,"",0,"",0,"",0,"",0,""
205,20201210,S92000003,Male,"",40 to 49,"",328962,"",Dose 1,"",241,"",0.0732607413622242,"",605,"",0.183911819602264,""
206,20201210,S92000003,Male,"",40 to 49,"",328962,"",Dose 2,"",0,"",0,"",0,"",0,""
207,20201210,S92000003,Male,"",50 to 54,"",189355,"",Dose 1,"",153,"",0.0808006126059518,"",345,"",0.182197459797734,""
208,20201210,S92000003,Male,"",50 to 54,"",189355,"",Dose 2,"",0,"",0,"",0,"",0,""
209,20201210,S92000003,Male,"",55 to 59,"",193348,"",Dose 1,"",150,"",0.0775803214928523,"",317,"",0.163953079421561,""
210,20201210,S92000003,Male,"",55 to 59,"",193348,"",Dose 2,"",0,"",0,"",0,"",0,""
211,20201210,S92000003,Male,"",60 to 64,"",170701,"",Dose 1,"",93,"",0.0544812274093298,"",213,"",0.124779585356852,""
212,20201210,S92000003,Male,"",60 to 64,"",170701,"",Dose 2,"",0,"",0,"",0,"",0,""
213,20201210,S92000003,Male,"",65 to 69,"",144529,"",Dose 1,"",28,"",0.0193732745677338,"",68,"",0.0470493810930678,""
214,20201210,S92000003,Male,"",65 to 69,"",144529,"",Dose 2,"",0,"",0,"",0,"",0,""
215,20201210,S92000003,Male,"",70 to 74,"",135910,"",Dose 1,"",8,"",0.00588624825252005,"",17,"",0.0125082775366051,""
216,20201210,S92000003,Male,"",70 to 74,"",135910,"",Dose 2,"",0,"",0,"",0,"",0,""
217,20201210,S92000003,Male,"",75 to 79,"",89206,"",Dose 1,"",4,"",0.00448400331816246,"",5,"",0.00560500414770307,""
218,20201210,S92000003,Male,"",75 to 79,"",89206,"",Dose 2,"",0,"",0,"",0,"",0,""
219,20201210,S92000003,Male,"",80 years and over,d,106156,"",Dose 1,"",2,"",0.00188401974452692,"",4,"",0.00376803948905385,""
220,20201210,S92000003,Male,"",80 years and over,d,106156,"",Dose 2,"",0,"",0,"",0,"",0,""
221,20201210,S92000003,Total,d,12 to 15,"",234135,"",Dose 1,"",0,"",0,"",0,"",0,""
222,20201210,S92000003,Total,d,12 to 15,"",234135,"",Dose 2,"",0,"",0,"",0,"",0,""
223,20201210,S92000003,Total,d,16 to 17,"",110139,"",Dose 1,"",0,"",0,"",1,"",0.00090794359854365,""
224,20201210,S92000003,Total,d,16 to 17,"",110139,"",Dose 2,"",0,"",0,"",0,"",0,""
225,20201210,S92000003,Total,d,16 years and over,d,4549217,"",Dose 1,"",4960,"",0.109029751713317,"",10758,"",0.236480255833037,""
226,20201210,S92000003,Total,d,16 years and over,d,4549217,"",Dose 2,"",0,"",0,"",0,"",0,""
227,20201210,S92000003,Total,d,18 to 29,"",833947,"",Dose 1,"",716,"",0.0858567750708378,"",1463,"",0.175430812749491,""
228,20201210,S92000003,Total,d,18 to 29,"",833947,"",Dose 2,"",0,"",0,"",0,"",0,""
229,20201210,S92000003,Total,d,18 years and over,d,4439078,"",Dose 1,"",4960,"",0.111734914322298,"",10757,"",0.242325095436485,""
230,20201210,S92000003,Total,d,18 years and over,d,4439078,"",Dose 2,"",0,"",0,"",0,"",0,""
231,20201210,S92000003,Total,d,30 to 39,"",729735,"",Dose 1,"",971,"",0.133062001959615,"",2103,"",0.288186807539723,""
232,20201210,S92000003,Total,d,30 to 39,"",729735,"",Dose 2,"",0,"",0,"",0,"",0,""
233,20201210,S92000003,Total,d,40 to 49,"",674290,"",Dose 1,"",1111,"",0.16476590191164,"",2585,"",0.383366207418173,""
